source_file,list_name,flow_uuid,flow_name,context,unit,cas_number,synonyms
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl pentane,air/lower stratosphere + upper troposphere,kg,,Isohexane
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl pentane,air/non-urban air or from high stacks,kg,,Isohexane
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl pentane,air/unspecified,kg,,Isohexane
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl pentane,air/urban air close to ground,kg,,Isohexane
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,"air/low population density, long-term",kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,air/lower stratosphere + upper troposphere,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,air/non-urban air or from high stacks,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,air/unspecified,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,air/urban air close to ground,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,water/ground-,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,"water/ground-, long-term",kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,water/ocean,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,water/surface water,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-1-propanol,water/unspecified,kg,,"Isobutanol, Isobutyl alcohol"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,"air/low population density, long-term",kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,air/lower stratosphere + upper troposphere,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,air/non-urban air or from high stacks,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,air/unspecified,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,air/urban air close to ground,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,water/ground-,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,"water/ground-, long-term",kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,water/ocean,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,water/surface water,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Methyl-2-butene,water/unspecified,kg,,n-Amylene
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Nitrobenzoic acid,"air/low population density, long-term",kg,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Nitrobenzoic acid,air/lower stratosphere + upper troposphere,kg,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Nitrobenzoic acid,air/non-urban air or from high stacks,kg,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Nitrobenzoic acid,air/unspecified,kg,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Nitrobenzoic acid,air/urban air close to ground,kg,,"o-nitrobenzoic acid, ortho-nitrobenzoic acid"
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Phenylphenol,soil/agricultural,kg,,
Mapping/Input/Flowlists/ecoinventEFv3.7.csv,ecoinventEFv3.7,,2-Propanol,"air/low population density, long-term",kg,,"Isopropanol, Isopropyl alcohol"
